pv_pr,v_wind,power_wt,power_solar,e_ro_hourly,datetime,month,tank_level,water_produced,water_consumed,plants_operating
0,2.7,266.14330831443704,0.0,2400.0,2023-01-02 21:00:00,1,69048.38709677427,0.0,943.5483870967741,0
0,2.2,2.9686476111945375,0.0,2400.0,2023-01-02 22:00:00,1,68104.8387096775,0.0,943.5483870967741,0
0,2.0,0.0,0.0,2400.0,2023-01-02 23:00:00,1,67161.29032258072,0.0,943.5483870967741,0
0,1.5,2.6807440537542755,0.0,2400.0,2023-01-03 00:00:00,1,66217.74193548395,0.0,943.5483870967741,0
0,2.6,164.22161902798635,0.0,2400.0,2023-01-03 01:00:00,1,65274.19354838718,0.0,943.5483870967741,0
0,4.2,6741.219877990008,0.0,2400.0,2023-01-03 02:00:00,1,65930.6451612904,1600.0,943.5483870967741,2
0,5.8,21502.229296046964,0.0,2400.0,2023-01-03 03:00:00,1,66587.09677419363,1600.0,943.5483870967741,2
0,6.8,35980.188141743165,0.0,2400.0,2023-01-03 04:00:00,1,67243.54838709686,1600.0,943.5483870967741,2
0,7.1,41163.47548324705,0.0,2400.0,2023-01-03 05:00:00,1,67900.00000000009,1600.0,943.5483870967741,2
0,3.8,4178.99200767716,0.0,2400.0,2023-01-03 06:00:00,1,67756.45161290331,800.0,943.5483870967741,1
4,4.1,6056.1041692369745,3600.0,2400.0,2023-01-03 07:00:00,1,68412.90322580654,1600.0,943.5483870967741,2
112,5.7,20327.29370930393,100800.0,2400.0,2023-01-03 08:00:00,1,69069.35483870977,1600.0,943.5483870967741,2
172,7.3,44804.04094011273,154800.0,2400.0,2023-01-03 09:00:00,1,69725.806451613,1600.0,943.5483870967741,2
357,8.3,65916.28766014555,321300.0,2400.0,2023-01-03 10:00:00,1,70382.25806451622,1600.0,943.5483870967741,2
571,8.5,70830.04254049217,513900.0,2400.0,2023-01-03 11:00:00,1,71038.70967741945,1600.0,943.5483870967741,2
494,6.5,31144.295145306307,444600.0,2400.0,2023-01-03 12:00:00,1,71695.16129032268,1600.0,943.5483870967741,2
262,7.9,56813.64373330922,235800.0,2400.0,2023-01-03 13:00:00,1,72351.6129032259,1600.0,943.5483870967741,2
137,10.6,134620.11337129024,123300.0,2400.0,2023-01-03 14:00:00,1,73008.06451612913,1600.0,943.5483870967741,2
174,11.3,155985.67693015918,156600.0,2400.0,2023-01-03 15:00:00,1,73664.51612903236,1600.0,943.5483870967741,2
106,12.6,183475.29031698086,95400.0,2400.0,2023-01-03 16:00:00,1,74320.96774193559,1600.0,943.5483870967741,2
2,10.8,141006.56220295292,1800.0,2400.0,2023-01-03 17:00:00,1,74977.41935483881,1600.0,943.5483870967741,2
0,9.1,87062.79951170554,0.0,2400.0,2023-01-03 18:00:00,1,75633.87096774204,1600.0,943.5483870967741,2
0,9.6,102185.39743690674,0.0,2400.0,2023-01-03 19:00:00,1,76290.32258064527,1600.0,943.5483870967741,2
0,8.6,73379.09688108269,0.0,2400.0,2023-01-03 20:00:00,1,76946.7741935485,1600.0,943.5483870967741,2
0,9.8,108532.82462167795,0.0,2400.0,2023-01-03 21:00:00,1,77603.22580645172,1600.0,943.5483870967741,2
